length,velocity
62.841081234727426,200.23395650191642
45.58417992212162,207.44149606383016
42.97232314991652,206.67174208467
80.18517546179737,201.15202740006305
50.146568065374595,197.532674239082
43.79293559122834,204.1101971507052
60.04935967356141,205.0262349651676
83.73001942845804,207.3110741475452
47.21468677654775,208.698884947908
37.098031644356524,201.33664611846
59.94847369413219,206.3728187550613
40.98890773295716,201.1039053305035
35.234388795198356,192.3922371809755
65.812009334285,206.90022499686535
46.87396395871565,202.28770659732467
35.77707321548223,192.1185285647989
44.49495954159738,202.10617433692286
41.55843014945458,209.8279752435248
51.40824465334845,205.84216930026832
58.66602459227761,204.13853765343381
51.884813635606406,203.31784945611585
46.92839918479331,205.2303791939547
48.02709199899891,201.6845758017659
47.03858005303755,208.920360414842
42.021905736776716,202.2201562894996
54.383673927619384,198.99137504955434
36.162454168200384,205.88493084082458
37.09798877252433,200.974097021011
46.34685194798385,207.60915357885818
43.979545515873724,201.4245781347236
44.76957038189994,202.47401153761228
40.24237604964219,199.3559763949591
52.18467430054989,198.99385430251826
67.50739536221045,195.11007117372895
41.829092341643445,202.39097907510867
71.68590733762085,199.39414328235236
59.559639144686116,199.86660845409085
56.37795321807607,205.41383596898115
39.37717023863661,198.36432053503134
40.64770753945413,201.74037569150573
52.790303397225216,205.94197524731197
42.32718776805996,202.16243461215387
56.37178035724173,204.6828507842877
75.48351221530993,201.52833901472388
54.878350318726916,202.45582425472955
41.15069537344607,200.69533162142662
81.65536103272916,201.88932944522912
65.06952822118365,207.25435480826962
35.850562898684984,200.17857598236884
81.82580349844466,196.65301389042247
