lambda_group,cell_length,cell_velocity
Small ¦Ë,47.23771423914371,-21.864695927195918
Small ¦Ë,2.392603166447202,17.79039734921434
Small ¦Ë,-27.07917070140464,4.163571410462047
Small ¦Ë,3.264488110171328,-18.050994016368573
Small ¦Ë,77.08806317297801,0.546426270270277
Small ¦Ë,149.05011318193922,-21.0696540633839
Small ¦Ë,-23.854609703695445,1.9243483340633756
Small ¦Ë,7.871043906325667,-17.09439218454488
Small ¦Ë,20.602029809540653,-12.126668477986863
Small ¦Ë,1.787425520661202,9.51141308830623
Small ¦Ë,-33.517132379139525,-1.1686621102240466
Small ¦Ë,48.108083827399355,-35.81314497808785
Small ¦Ë,-15.371550314293387,13.144166933760577
Small ¦Ë,49.76731807378167,-31.773340583868638
Small ¦Ë,-49.30626162939855,-3.9326459306433335
Small ¦Ë,-37.89885806512109,24.86342660254662
Small ¦Ë,40.29930670655975,-5.489022697077998
Small ¦Ë,79.01255380193362,0.04861799539168411
Small ¦Ë,-21.592599378289563,-22.570322307066906
Small ¦Ë,-5.906773575179159,-18.691422935694245
Small ¦Ë,-54.520281925446255,0.1804478447619431
Small ¦Ë,-38.85596719950297,-13.282486924680983
Small ¦Ë,0.4004244701815196,9.567316473117248
Small ¦Ë,-74.19041590461609,0.8256378672028449
Small ¦Ë,66.79033517010558,17.485409898942986
Small ¦Ë,-1.352378486737166,15.913898721942024
Small ¦Ë,11.881774989724818,11.560362655699219
Small ¦Ë,40.18944424685367,17.306698696763505
Small ¦Ë,38.13689013860068,15.488725335679598
Small ¦Ë,74.4685690767386,-11.213519440325927
Small ¦Ë,-2.7306278926250513,-16.229669833139663
Small ¦Ë,-45.4300620716954,10.340208647716803
Small ¦Ë,-13.588833795950393,25.107201683850004
Small ¦Ë,43.686878105677124,-28.22473940692603
Small ¦Ë,86.58878805333819,-2.8854424107479386
Small ¦Ë,73.2982764125432,-23.745563355975737
Small ¦Ë,-73.43050783740165,-3.6094048092945505
Small ¦Ë,66.93675180278264,14.748998828425943
Small ¦Ë,19.02571497645617,4.653563276241989
Small ¦Ë,37.35104329445295,4.280477417828157
Small ¦Ë,85.7920764898676,-3.0533258725370267
Small ¦Ë,45.489089106001074,8.564582540484192
Small ¦Ë,118.34120692753686,12.6622380412008
Small ¦Ë,6.18863732136807,-2.934706692290028
Small ¦Ë,-20.666516154031342,-27.300177950877774
Small ¦Ë,66.45649622810907,6.3701481695415865
Small ¦Ë,64.29587941217628,2.628085343038633
Small ¦Ë,-35.85728897577692,-5.961163343135436
Small ¦Ë,-56.51933719461684,9.811673989277226
Small ¦Ë,37.75346162907093,20.017506405030915
Large ¦Ë,42.1396967718158,-12.218239432679566
Large ¦Ë,54.1802871122577,24.122547268445512
Large ¦Ë,-184.88661906928314,-15.2143465217921
Large ¦Ë,92.27321976130932,-18.892447458826112
Large ¦Ë,61.03574518175094,6.028185426676975
Large ¦Ë,113.50231082211155,26.061855063617994
Large ¦Ë,109.18858019733716,23.07819808378447
Large ¦Ë,-9.448285425107542,27.485022391918154
Large ¦Ë,51.78873274344386,6.276091967729007
Large ¦Ë,-85.18157340546996,-3.9068576684490623
Large ¦Ë,102.40845717436959,13.48909455971068
Large ¦Ë,72.92409182253772,31.54821308584185
Large ¦Ë,64.37712441218963,-20.521828072086937
Large ¦Ë,102.39088089141308,-7.1940771039192635
Large ¦Ë,99.43161930493858,-13.564992776731657
Large ¦Ë,70.97158662675662,-15.613216640057828
Large ¦Ë,173.61632341623138,-2.67921601687739
Large ¦Ë,1.1248458642777734,14.893896689050392
Large ¦Ë,110.35156824769842,32.58541006532321
Large ¦Ë,58.28746236587815,-21.77848467141642
Large ¦Ë,-78.77848278998533,-3.5749181088548934
Large ¦Ë,72.62478221412255,-2.9621772561118025
Large ¦Ë,65.8365328032246,15.54814631159039
Large ¦Ë,-45.07485656364207,3.041807898571793
Large ¦Ë,64.73409679782452,17.266572786674395
Large ¦Ë,121.53813093917472,22.423942499452053
Large ¦Ë,52.81999581956653,-7.0575355817192165
Large ¦Ë,57.39746459808663,14.48366517341991
Large ¦Ë,53.714309918329604,5.961670160577669
Large ¦Ë,53.10812486512748,2.7099558699642574
Large ¦Ë,3.1693804594635253,38.18854262739008
Large ¦Ë,35.03948464185993,1.3331680936666832
Large ¦Ë,35.34151601881024,39.87611458457417
Large ¦Ë,-136.06806592929618,13.459816888241257
Large ¦Ë,2.94256479435802,-20.68771140827539
Large ¦Ë,2.808680539046506,-9.786655108292504
Large ¦Ë,81.62862986055421,-4.268735033152819
Large ¦Ë,-10.288198703083367,30.65145548177034
Large ¦Ë,-0.4169213667759095,12.398502288760032
Large ¦Ë,-22.528126407241984,2.6959509830689847
Large ¦Ë,250.42146729526053,-7.902338977137703
Large ¦Ë,40.39382270014153,26.469883464685626
Large ¦Ë,35.707630179968305,47.679396364604784
Large ¦Ë,58.423283287153026,34.69789557620869
Large ¦Ë,55.64352183680563,-44.01752153553179
Large ¦Ë,195.68194713717435,15.690254210870595
Large ¦Ë,72.53128156790154,4.409588411669055
Large ¦Ë,48.511698155151976,21.268211800855592
Large ¦Ë,85.65108778922252,0.0216174585913177
Large ¦Ë,79.85429614446511,-5.431931213858514
